DateTime,AddedIPs,RemovedIPs
1616557296,65,45
1616557896,45,42
1616558166,13,8
1616558616,73,46
1616559216,50,35
1616559364,1,0
1616559816,61,31
1616560088,11,10
1616560536,71,44
1616561256,60,62
1616562141,99,75
1616562984,83,70
1616563656,51,46
1616564165,10,9
1616564376,47,38
1616565096,57,59
1616565756,71,56
1616566086,14,2
1616566536,69,50
1616567256,62,40
1616568022,38,72
1616568696,59,45
1616569416,61,46
1616569925,15,0
1616570136,50,68
1616570856,80,68
1616571576,72,75
1616571849,14,16
1616572296,58,63
1616573016,69,70
1616573785,74,67
1616574456,44,59
1616575177,65,50
1616575688,7,0
1616576016,64,108
1616576616,53,53
1616577336,48,50
1616577608,19,2
1616578055,72,66
1616578776,54,86
1616579541,72,93
1616580216,54,76
1616580936,64,113
1616581444,12,21
1616581656,60,92
1616582375,47,60
1616583095,59,58
1616583364,16,0
1616583816,42,41
1616584536,37,55
1616585300,63,80
1616585975,43,51
1616586696,44,44
1616587230,15,9
1616587416,43,42
1616588136,145,348
1616588856,69,74
1616589125,11,4
1616589575,85,78
1616590295,68,46
1616591015,67,33
1616591735,56,45
1616592245,11,4
1616592456,38,61
1616592967,18,7
1616593176,43,49
1616593896,42,54
1616594616,74,62
1616595131,22,5
1616595576,74,57
1616596295,45,77
1616597067,47,79
1616597735,47,47
1616598456,49,75
1616598966,13,0
1616599176,61,63
1616599896,50,52
1616600616,47,43
1616601130,15,9
1616601336,56,136
1616602056,59,50
1616602775,80,37
1616603048,9,15
1616603495,68,74
1616604216,56,54
1616604984,53,61
1616605656,58,66
1616606376,85,53
1616606885,29,21
1616607096,61,57
1616607816,76,38
1616608536,41,56
1616608821,10,5
1616609496,77,56
1616610216,58,46
1616610725,6,5
1616610936,405,47
1616611656,57,50
1616612375,48,60
1616612655,11,6
1616613096,45,60
1616613816,52,43
1616614585,65,45
1616615256,61,45
1616615976,57,42
1616616778,59,45
1616617415,59,41
1616618376,97,80
1616618646,7,5
1616619096,59,52
1616619815,78,74
1616620584,98,80
1616621256,53,82
1616621524,3,8
1616621976,47,32
1616622489,11,0
1616622696,30,58
1616623415,51,34
1616624136,21,48
1616624407,8,10
1616624856,23,51
1616625577,40,51
1616626343,42,52
1616627016,38,32
1616627736,48,53
1616628248,7,6
1616628696,50,73
1616629416,40,55
1616630180,47,54
1616630856,53,71
1616631576,44,45
1616632087,14,8
1616632296,41,40
1616633016,32,43
1616633736,44,40
1616634025,8,4
1616634696,71,53
1616635416,71,61
1616635928,3,14
1616636183,75,62
1616636856,53,49
1616637576,69,90
1616637852,8,9
1616638296,44,67
1616638805,1,0
1616639016,57,52
1616639785,73,86
1616640456,51,64
1616641176,58,58
1616641687,5,12
1616641896,49,52
1616642616,73,70
1616643336,46,45
1616643610,7,8
1616644055,58,71
1616644776,40,54
1616645545,54,75
1616646215,45,70
1616646936,55,69
1616647452,6,11
1616647896,71,80
1616648616,59,82
1616649383,71,41
1616650056,77,65
1616650823,82,65
1616651288,12,6
1616651496,89,48
1616652216,86,91
1616652936,77,71
1616653204,16,8
1616653896,84,86
1616654616,57,52
1616655129,13,7
1616655336,49,62
1616656296,92,74
1616657063,74,78
1616657736,67,69
1616658696,75,77
1616658972,15,13
1616659415,72,75
1616660135,64,56
1616660856,70,53
1616661576,38,67
1616662296,66,54
1616662841,16,16
1616663016,53,60
1616663736,71,51
1616664455,82,73
1616664725,15,14
1616665176,76,50
1616665689,15,5
1616666136,104,93
1616666660,9,9
1616666856,55,60
1616667576,64,69
1616668296,51,60
1616668573,6,0
1616669016,51,41
1616669736,63,70
1616670456,50,36
1616671176,54,51
1616671895,62,36
1616672406,16,19
1616672616,111,51
1616673336,41,40
1616674056,51,44
1616674327,9,9
1616674776,330,371
1616675496,47,84
1616676262,62,81
1616676936,65,67
1616677655,51,57
1616678174,6,12
1616678616,68,58
1616679336,45,42
1616680056,61,46
1616680328,11,7
1616680776,51,66
1616681497,46,54
1616682043,10,24
1616682216,44,71
1616682486,2,0
1616682936,37,43
1616683655,36,53
1616684167,11,11
1616684376,55,60
1616685097,47,58
1616685816,64,47
1616686085,13,14
1616686536,49,41
1616687256,54,62
1616688061,65,82
1616688696,50,75
1616689416,52,66
1616689934,11,11
1616690436,91,66
1616691095,64,46
1616691868,78,55
1616692536,46,75
1616693256,39,824
1616693770,11,8
1616693976,44,56
1616694696,50,61
1616694966,20,4
1616695416,50,65
1616695688,12,16
1616696135,48,42
1616696856,46,80
1616697626,71,63
1616698296,43,42
1616699015,30,59
1616699529,8,6
1616699976,46,67
1616700695,40,49
1616701465,46,67
1616702136,44,66
1616702856,57,55
1616703390,15,7
1616703815,53,61
1616704536,58,72
1616705305,58,70
1616705976,47,66
1616706695,35,85
1616707247,8,11
1616707416,32,56
1616708136,35,36
1616708856,75,43
1616709633,59,56
1616710295,55,33
1616711063,54,41
1616711736,51,36
1616712455,66,47
1616712967,6,8
1616713176,73,26
1616713895,49,55
1616714616,43,41
1616714886,9,12
1616715336,34,31
1616716056,41,46
1616716836,60,60
1616717496,63,50
1616718216,61,47
1616718723,10,14
1616718936,72,40
1616719656,46,39
1616720436,69,49
1616720654,6,9
1616721095,61,68
