DateTime,AddedIPs,RemovedIPs
1616698339,10,12
1616698839,43,32
1616700244,15,14
1616700885,75,107
1616702177,11,13
1616703426,90,66
1616704084,6,17
1616705026,70,100
1616706032,14,19
1616706163,48,68
1616707924,5,6
1616708741,41,1
1616709006,53,90
1616709851,4,9
1616710682,61,50
1616711782,57,79
1616713942,80,88
1616715243,48,92
1616715846,11,12
1616717088,51,117
1616717764,263,0
1616718603,40,0
1616719700,8,7
1616720446,49,86
1616721604,11,12
1616722447,294,0
1616723524,9,11
1616725463,108,9
1616726046,42,0
1616727364,12,17
1616727647,52,0
1616729283,13,11
1616729403,63,0
1616729644,18,0
1616731231,7,9
1616733132,3,12
1616733252,89,1
1616735054,8,15
1616736982,4,12
1616737547,114,1
1616738889,7,10
1616739346,80,0
1616740021,60,0
1616740803,7,11
1616741147,13,0
1616742739,10,16
1616744645,179,14
1616745657,131,0
1616746806,19,12
1616747644,86,0
1616748726,9,17
1616749507,72,46
1616750663,11,10
1616751321,46,0
1616752564,3,5
1616752847,56,82
1616754499,60,68
1616754871,56,86
1616756405,13,11
1616756455,45,19
1616757346,47,70
1616758327,15,734
1616759147,37,68
1616760268,282,0
1616762165,92,81
1616762746,46,73
1616764345,16,26
1616764547,0,255
1616765492,1345,77
1616766245,10,10
1616766331,53,80
1616768409,23,17
1616768569,0,254
1616768645,100,35
1616770324,10,10
1616770837,59,83
1616772258,13,11
1616772339,66,47
1616772886,256,0
1616774163,8,7
1616774436,39,79
1616776087,71,53
1616777243,40,82
1616778070,18,12
1616779926,10,11
1616780045,81,98
1616781854,17,10
1616782935,101,306
1616783780,14,13
1616783925,25,76
1616785692,6,10
1616786142,65,56
1616787605,61,16
1616788205,44,84
1616789542,11,15
1616790176,30,46
1616790845,40,83
1616791445,8,10
1616793379,13,8
1616793648,75,75
1616794445,27,65
1616795283,12,10
1616796302,73,72
1616797203,27,9
1616797848,46,0
1616799138,17,10
1616799648,32,82
1616801042,13,11
1616801104,57,39
1616802982,8,17
1616803266,34,89
1616805131,314,0
1616805247,18,0
1616807057,9,22
1616808163,40,1
1616808984,54,16
1616810888,20,10
1616812808,137,302
1616814730,18,8
1616815283,115,135
1616816666,38,69
1616818567,18,9
1616820725,122,81
1616821256,52,94
1616822648,64,54
1616824581,16,16
1616824857,84,175
1616826485,12,13
1616826655,41,0
1616826846,26,87
1616828417,16,11
1616828455,0,11039
1616830326,11021,19
1616830444,23,105
1616832250,5,14
1616833230,40,62
1616833853,79,8
1616834423,17,13
1616834754,19,92
1616836332,12,7
1616837106,174,62
1616838250,32,85
1616839258,41,68
1616840181,15,8
1616840705,47,0
1616841245,12,46
1616842083,11,10
1616844006,14,449
1616844207,118,318
